cycle,if_valid,if_pc,if_instr,id_valid,id_pc,id_instr,ex_valid,ex_pc,ex_instr,mem_valid,mem_pc,mem_instr,wb_valid,wb_pc,wb_instr,wb_we,wb_rd,wb_wdata,stall,flush,redirect,redirect_target
55,1,0x000000dc,0x00000013,1,0x000000d8,0x00600613,0,0x000000d4,0x00000013,0,0x000000d0,0x00400613,1,0x000000cc,0x00209663,0,12,0x0000001e,0,0,0,0x000000d8
56,1,0x000000e0,0x00000013,1,0x000000dc,0x00000013,1,0x000000d8,0x00600613,0,0x000000d4,0x00000013,0,0x000000d0,0x00400613,0,12,0x00000004,0,0,0,0x000000dc
57,1,0x000000e4,0x00000013,1,0x000000e0,0x00000013,1,0x000000dc,0x00000013,1,0x000000d8,0x00600613,0,0x000000d4,0x00000013,0,0,0x00000000,0,0,0,0x000000e0
58,1,0x000000e8,0x00c0076f,1,0x000000e4,0x00000013,1,0x000000e0,0x00000013,1,0x000000dc,0x00000013,1,0x000000d8,0x00600613,1,12,0x00000006,0,0,0,0x000000e4
59,1,0x000000ec,0x00700693,1,0x000000e8,0x00c0076f,1,0x000000e4,0x00000013,1,0x000000e0,0x00000013,1,0x000000dc,0x00000013,1,0,0x00000000,0,0,0,0x000000e8
60,1,0x000000f0,0x00800793,1,0x000000ec,0x00700693,1,0x000000e8,0x00c0076f,1,0x000000e4,0x00000013,1,0x000000e0,0x00000013,1,0,0x00000000,0,1,1,0x000000f4
61,1,0x000000f4,0x00900693,0,0x000000f0,0x00000013,0,0x000000ec,0x00700693,1,0x000000e8,0x00c0076f,1,0x000000e4,0x00000013,1,0,0x00000000,0,0,0,0x000000f0
62,1,0x000000f8,0x00000013,1,0x000000f4,0x00900693,0,0x000000f0,0x00000013,0,0x000000ec,0x00700693,1,0x000000e8,0x00c0076f,1,14,0x000000ec,0,0,0,0x000000f4
63,1,0x000000fc,0x00000013,1,0x000000f8,0x00000013,1,0x000000f4,0x00900693,0,0x000000f0,0x00000013,0,0x000000ec,0x00700693,0,13,0x00000007,0,0,0,0x000000f8
64,1,0x00000100,0x00000013,1,0x000000fc,0x00000013,1,0x000000f8,0x00000013,1,0x000000f4,0x00900693,0,0x000000f0,0x00000013,0,0,0x00000000,0,0,0,0x000000fc
65,1,0x00000104,0x12000813,1,0x00000100,0x00000013,1,0x000000fc,0x00000013,1,0x000000f8,0x00000013,1,0x000000f4,0x00900693,1,13,0x00000009,0,0,0,0x00000100
66,1,0x00000108,0x00000013,1,0x00000104,0x12000813,1,0x00000100,0x00000013,1,0x000000fc,0x00000013,1,0x000000f8,0x00000013,1,0,0x00000000,0,0,0,0x00000104
67,1,0x0000010c,0x00000013,1,0x00000108,0x00000013,1,0x00000104,0x12000813,1,0x00000100,0x00000013,1,0x000000fc,0x00000013,1,0,0x00000000,0,0,0,0x00000108
